Cod_TCAC,Food,Price_100g,Serving,Serving_g,Price_serving,Group,Subgroup,Energy,Protein,Carbohydrates,Lipids,Calcium,Zinc,Iron,Magnesium,Phosphorus,VitaminC,Thiamine,Riboflavin,Niacin,Folate,VitaminB12,VitaminA,Sodium
A010,Arroz exito marca propia blanco (500  gr),388.0,100,24.929178470254957,96.72521246458923,"Cereales, raíces, tubérculos y plátanos",Cereales,353.0,6.7,80.1,0.4,9.0,1.2,0.8,35.0,140.0,0.0,0.07,0.03,1.8,9.0,0.0,0.0,2.0
A027,Galletas saltin noel tradicional x6 tacos (531  gr),1864.4,100,20.754716981132077,386.9509433962265,"Cereales, raíces, tubérculos y plátanos",Cereales,424.0,9.6,72.9,9.7,38.0,0.7,5.6,23.0,145.0,0.0,0.12,0.37,6.2,134.0,0.06,1.0,944.0
A034,Harina precocida maíz blanco arepasan  (1000  gr),289.0,100,23.157894736842106,66.92631578947369,"Cereales, raíces, tubérculos y plátanos",Cereales,380.0,9.1,73.9,3.7,4.0,1.3,2.7,44.0,248.0,0.0,0.3,0.12,2.7,35.0,0.0,0.0,1.0
A040,Harina frescampo de trigo (500  gr),348.0,100,24.444444444444443,85.06666666666666,"Cereales, raíces, tubérculos y plátanos",Cereales,360.0,12.5,72.3,1.7,15.0,1.0,4.3,26.0,107.0,0.0,0.98,0.47,6.1,216.0,0.0,0.0,2.0
A044,Maíz frescampo granos seleccionados (1000 gr),370.0,100,25.360230547550433,93.8328530259366,"Cereales, raíces, tubérculos y plátanos",Cereales,347.0,8.8,76.0,0.8,7.0,3.2,2.1,,281.0,0.0,0.34,0.1,1.9,,0.0,90.0,
A046,Maíz frescampo del campo granos seleccionados (1000 gr),315.0,100,24.649859943977596,77.64705882352942,"Cereales, raíces, tubérculos y plátanos",Cereales,357.0,8.7,77.9,0.9,10.0,,2.0,,71.0,0.0,0.2,0.03,1.1,,0.0,0.0,6.0
A053,Chocolo mazorca entera  500  gr,1358.0,100,57.89473684210526,786.2105263157895,"Cereales, raíces, tubérculos y plátanos",Cereales,152.0,3.4,30.5,1.2,5.0,0.4,0.8,34.0,120.0,10.0,0.13,0.07,1.6,42.0,0.0,28.0,3.0
A072,Pasta alimenticia doria pasta de arroz (400  gr),2937.5,100,23.71967654986523,696.7654986522912,"Cereales, raíces, tubérculos y plátanos",Cereales,371.0,13.0,74.7,1.5,25.0,1.3,3.9,53.0,120.0,0.0,0.95,0.39,7.1,237.0,0.0,0.0,6.0
B015,Arracacha 1 und,320.0,100,81.08108108108108,259.4594594594595,"Cereales, raíces, tubérculos y plátanos",Raices,111.0,0.9,26.3,0.1,21.0,0.0,0.9,12.0,52.0,20.0,0.06,0.06,3.8,15.6,0.0,57.0,1.0
B025,Brocolí  1  und,488.0,100,52.17391304347826,254.6086956521739,Frutas y verduras,Verduras,46.0,3.0,6.6,0.3,60.0,0.4,1.1,21.0,70.0,89.0,0.07,0.14,0.9,63.0,0.0,31.0,33.0
B027,Cebolla blanca  1  und,1106.66,100,60.0,663.9960000000001,Frutas y verduras,Verduras,40.0,1.4,7.7,0.1,24.0,0.2,0.3,7.0,40.0,10.0,0.04,0.03,0.2,18.0,0.0,1.0,4.0
B029,Cebolla junca  500  gr,520.0,100,64.86486486486487,337.29729729729735,Frutas y verduras,Verduras,37.0,1.2,6.8,0.1,57.0,0.2,0.5,17.0,31.0,13.0,0.04,0.05,0.3,26.0,0.0,200.0,15.0
B039,Coliflor tallos kosher taeq 200  gr,7080.0,100,66.66666666666667,4720.0,Frutas y verduras,Verduras,36.0,1.9,5.7,0.1,25.0,0.3,0.7,12.0,57.0,55.0,0.03,0.08,0.5,57.0,0.0,15.0,41.0
B046,Frijol verde 700 gr,620.0,100,49.397590361445786,306.26506024096386,"Carnes, huevos, leguminosas secas, frutos secos y semillas",Leguminosas,166.0,10.5,29.0,0.4,67.0,2.83,3.3,147.0,220.0,16.0,0.39,0.08,1.4,521.0,0.0,4.0,0.95
B052,Habichuela ekono 500 gr,840.0,100,55.81395348837209,468.8372093023256,Frutas y verduras,Verduras,43.0,2.1,7.2,0.0,40.0,0.2,1.0,22.0,39.0,10.0,0.06,0.1,0.7,34.0,0.0,33.0,6.0
B059,Lechuga batavia  1  und,490.0,100,133.33333333333334,653.3333333333334,Frutas y verduras,Verduras,18.0,0.8,2.6,0.1,21.0,0.3,0.9,6.0,27.0,3.0,0.06,0.04,0.4,53.0,0.0,10.0,6.0
B060,Lechuga hidrop. verde crespa  170  gr,1835.29,100,104.34782608695652,1915.085217391304,Frutas y verduras,Verduras,23.0,1.1,3.3,0.1,30.0,0.2,1.0,14.0,30.0,6.0,0.07,0.07,0.3,136.0,0.0,290.0,8.0
B071,Papa criolla granel,594.0,100,96.875,575.4375,"Cereales, raíces, tubérculos y plátanos",Tuberculos,96.0,2.2,21.1,0.1,11.0,0.29,1.0,23.0,36.0,32.0,0.11,0.03,2.4,16.0,0.0,2.0,18.0
B074,Papa pastusa granel,2587.9,100,104.49438202247191,2704.2101123595507,"Cereales, raíces, tubérculos y plátanos",Tuberculos,89.0,2.1,18.9,0.1,12.0,0.3,0.8,23.0,57.0,20.0,0.08,0.03,1.1,16.0,0.0,0.0,6.0
B077,Pepino cohombro   1  und,346.66,100,171.42857142857142,594.2742857142857,Frutas y verduras,Verduras,14.0,0.5,2.3,0.1,18.0,0.1,0.3,12.0,22.0,8.0,0.02,0.02,0.1,14.0,0.0,2.0,2.0
B080,Pimentón  1  und,533.33,100,68.57142857142857,365.712,Frutas y verduras,Verduras,35.0,1.0,6.3,0.3,7.0,0.2,0.4,12.0,24.0,160.0,0.05,0.07,1.1,35.0,0.0,184.0,2.0
B092,Platano frescampo 1600  gr,298.75,100,55.421686746987945,165.57228915662648,"Cereales, raíces, tubérculos y plátanos",Cereales,166.0,1.2,39.3,0.2,8.0,0.1,0.4,,20.0,20.0,0.06,0.04,0.5,,0.0,105.0,26.0
B098,Remolacha 1 und,740.0,100,45.283018867924525,335.0943396226415,Frutas y verduras,Verduras,53.0,1.4,10.3,0.1,16.0,0.4,0.8,23.0,40.0,6.0,0.03,0.04,0.3,109.0,0.0,2.0,71.0
B099,Repollo blanco 1 und,610.0,100,60.0,366.0,Frutas y verduras,Verduras,40.0,1.8,6.4,0.3,44.0,0.2,0.5,13.0,40.0,35.0,0.06,0.08,0.3,43.0,0.0,24.0,18.0
B103,Tomate larga vida 1 und,814.28,100,104.34782608695652,849.6834782608695,Frutas y verduras,Verduras,23.0,0.9,4.1,0.1,9.0,0.1,0.5,10.0,24.0,20.0,0.05,0.05,0.6,23.0,0.0,62.0,6.0
B107,Yuca 1 und,880.0,100,56.60377358490566,498.11320754716985,"Cereales, raíces, tubérculos y plátanos",Raices,159.0,0.9,37.4,0.3,16.0,0.3,0.3,21.0,30.0,30.0,0.04,0.03,0.8,27.0,0.0,1.0,14.0
B110,Zanahoria frescampo 1000  gr,212.8,100,51.06382978723404,108.66382978723405,Frutas y verduras,Verduras,47.0,0.7,9.5,0.1,27.0,0.2,0.4,10.0,35.0,3.0,0.04,0.04,0.4,22.0,0.0,1318.0,35.0
C002,Aguacate und  450  gr,1120.0,100,25.139664804469277,281.56424581005587,Grasas,Grasas,179.0,1.6,10.0,13.3,10.0,0.5,0.4,27.0,40.0,8.0,0.05,0.12,1.4,81.0,0.0,3.0,6.0
C010,Banano   1  und,720.0,100,54.45544554455446,392.0792079207921,Frutas y verduras,Frutas,101.0,1.5,22.3,0.1,8.0,0.2,0.9,29.0,27.0,19.0,0.05,0.03,0.6,21.0,0.0,22.0,3.0
C019,Coco  1  und,1373.33,100,13.681592039800995,187.893407960199,Grasas,Grasas,402.0,3.6,12.6,35.5,7.0,0.8,1.3,40.0,80.0,5.0,0.05,0.02,0.5,26.0,0.0,0.0,18.0
C021,Curuba larga 1 und,900.0,100,144.73684210526315,1302.6315789473683,Frutas y verduras,Frutas,38.0,0.6,8.5,0.1,7.0,,1.0,8.0,24.0,57.0,0.0,0.03,2.5,,0.0,170.0,85.0
C025,Fresa 500 gr,1682.0,100,122.22222222222223,2055.777777777778,Frutas y verduras,Frutas,45.0,0.8,8.3,0.5,21.0,0.2,0.5,13.0,26.0,67.0,0.03,0.03,0.4,22.0,0.0,4.0,2.0
C028,Granadilla  1  und,1654.54,100,57.89473684210526,957.8915789473684,Frutas y verduras,Frutas,95.0,2.1,14.9,1.6,12.0,0.8,0.9,25.0,50.0,0.0,0.02,0.35,2.1,14.0,0.0,28.0,20.0
C030,Guanabana.,874.9,100,166.66666666666666,1458.1666666666667,Frutas y verduras,Frutas,33.0,0.6,6.8,0.2,11.0,15.7,0.2,5.0,12.0,0.0,0.03,0.06,1.1,14.0,0.0,1.0,9.0
C032,Guayaba pera frescampo 1000  gr,336.0,100,70.51282051282051,236.9230769230769,Frutas y verduras,Frutas,78.0,0.9,15.1,0.4,16.0,0.2,0.3,14.0,26.0,214.0,0.04,0.04,1.1,49.0,0.0,31.0,3.0
C042,Kiwi malla  1000  gr,1840.0,100,75.34246575342466,1386.3013698630136,Frutas y verduras,Frutas,73.0,1.0,15.0,0.4,30.0,0.1,0.4,16.0,34.0,80.0,0.03,0.03,0.4,25.0,0.0,18.0,3.0
C044,Limón tahití malla taeq 1000  gr,392.0,100,125.0,490.0,Frutas y verduras,Frutas,44.0,0.3,9.3,0.3,19.0,0.1,0.5,8.0,15.0,42.0,0.05,0.01,0.1,11.0,0.0,1.0,4.0
C045,Lulo 1 und,813.0,100,114.58333333333333,931.5625,Frutas y verduras,Frutas,48.0,0.9,8.9,0.1,10.0,0.1,0.6,19.0,15.0,20.0,0.04,0.04,0.1,7.0,0.0,37.0,0.0
C050,Mandarina onecco 1 und,584.61,100,101.85185185185183,595.436111111111,Frutas y verduras,Frutas,54.0,0.9,11.4,0.1,35.0,0.2,0.3,12.0,21.0,24.0,0.06,0.03,0.2,18.0,0.0,35.0,2.0
C051,Mango maduro 1 und,380.0,100,69.62025316455696,264.5569620253164,Frutas y verduras,Frutas,79.0,0.6,17.1,0.0,15.0,0.1,0.5,24.0,21.0,48.0,0.12,0.12,0.5,39.0,0.0,140.0,4.0
C052,Mango tommy  1  und,260.0,100,28.350515463917525,73.71134020618557,Frutas y verduras,Frutas,194.0,0.4,46.9,0.1,8.0,0.1,0.1,7.0,14.0,70.0,0.028,0.04,0.669,36.9,0.0,180.0,1.0
C054,Manzana verde bolsa.   taeq 1000  gr,1184.0,100,76.38888888888889,904.4444444444443,Frutas y verduras,Frutas,72.0,0.3,16.5,0.2,16.0,0.0,0.3,5.0,10.0,10.0,0.05,0.02,0.2,1.0,0.0,3.0,2.0
C056,Maracuya 1 und,880.0,100,91.66666666666667,806.6666666666667,Frutas y verduras,Frutas,60.0,1.5,12.4,0.5,9.0,0.1,1.7,25.0,21.0,20.0,0.01,0.17,0.8,8.0,0.0,173.0,6.0
